AM,ق.ظ.
PM,ب.ظ.
About,درباره
Active,فعال
Address,آدرس
Allowed Dump Zone,منطقه مجاز تخلیه پسماند
Appraisal Template,الگوی ارزیابی
Approvers,تأییدکنندگان
Apps,برنامه‌ها
Arrear Component,جزء معوقات حقوق
Authority Type,نوع مرجع اختیار
Bag 15L,کیسه ۱۵ لیتری
Bag 45L,کیسه ۴۵ لیتری
Base+Add,پایه + مزایا
Basic Component,جزء پایه
Basic Info,اطلاعات پایه
Billing Model,مدل صورتحساب‌گیری
Center Type,نوع مرکز
Clinic,کلینیک
Contract Type,نوع قرارداد
Customer,مشتری
Customer Code Legacy,کد مشتری (قدیمی)
Customer Code New,کد مشتری جدید
Customer Domain,حوزه فعالیت مشتری
Customer Industrial Profile,پروفایل صنعتی مشتری
Customer Logo,لوگوی مشتری
Customer Medical Profile,پروفایل پزشکی مشتری
Customer Municipal Profile,پروفایل شهرداری مشتری
Customer Site,سایت مشتری
Default Employee Advance Account,حساب پیش‌پرداخت پیش‌فرض کارکنان
Default Expense Claim Payable Account,حساب پرداختنی پیش‌فرض مطالبات هزینه
Default Payroll Payable Account,حساب پرداختنی پیش‌فرض حقوق و دستمزد
Default Shift,شیفت پیش‌فرض
Density Base,مبنای چگالی
Designation is mandatory.,عنوان شغلی الزامی است.
Documentation,مستندات
Education (at least one record),تحصیلات (حداقل یک مورد الزامی است)
Education Last Degree,آخرین مدرک تحصیلی
Employee,کارمند
Employee Checklist,چک‌لیست کارمند
Employment Type,نوع استخدام
Estimation Method,روش برآورد
Expected Annual Revenue,درآمد سالانه مورد انتظار
Expense Approver,تأییدکننده هزینه
Father Name,نام پدر
Female,زن
Finance Manager,مدیر مالی
Finance Manager Email,ایمیل مدیر مالی
"For tier {0}, the following fields are required: {1}","برای رده {0}، فیلدهای زیر الزامی هستند: {1}"
Foundation,فاندیشن
Frappe School,مدرسه فرپه
Frappe Support,پشتیبانی فرپه
Frequency Count,تعداد دفعات
Frequency Unit,واحد تناوب
Fri,جمعه
Gate QR Required,ارائه کد QR در دروازه الزامی است
Gate Side Photo,عکس نمای دروازه
Gender,جنسیت
General,عمومی
Governorate/Village,استان / شهر / روستا
Grade,گرید شغلی
HR & Payroll,منابع انسانی و حقوق و دستمزد
HR & Payroll Settings,تنظیمات منابع انسانی و حقوق و دستمزد
HRA Component,جزء کمک‌هزینه مسکن
HRA Settings,تنظیمات کمک‌هزینه مسکن
Health Insurance,بیمه درمانی
Health Insurance No,شماره بیمه درمانی
Health Insurance Provider,ارائه‌دهنده بیمه درمانی
Hospital,بیمارستان
Hospital President,رئیس بیمارستان
Hospital extra fields,فیلدهای اضافی بیمارستان
IFSC Code,کد IFSC (شناسه بانکی)
Id Card Both Sides,اسکن دو روی کارت شناسایی
Industrial,صنعتی
Industry,صنعت
Invalid format:,قالب نامعتبر است:
Is Person,شخص حقیقی
Is customer exempted from sales tax?,آیا مشتری از مالیات فروش معاف است؟
Jalali Contract End Date,تاریخ پایان قرارداد (جلالی)
Jalali Date of Joining,تاریخ شروع به کار (جلالی)
Job Applicant,متقاضی شغل
Keyboard Shortcuts,میانبرهای صفحه‌کلید
Laboratory,آزمایشگاه
